date, pm25, pm10, o3, no2, so2, co
2018/3/5, 121, 72, 19, 8, , 5
2018/3/6, 144, 52, 20, 6, , 3
2018/3/7, 89, 56, 22, 7, 6, 4
2018/3/8, 121, 89, 15, 14, 9, 8
2018/3/9, 170, 42, 20, 7, 5, 4
2018/3/10, 95, 56, 22, 7, 7, 4
2018/3/11, 109, 84, 16, 10, , 6
2018/3/12, 151, 77, 13, 13, , 7
2018/3/13, 151, 37, 22, 6, , 3
2018/3/14, 99, 35, 23, 2, , 2
2018/3/15, 75, 73, 21, 8, , 5
2018/3/16, 134, 84, 21, 9, , 6
2018/3/17, 143, 73, 20, 9, , 6
2018/3/18, 135, 63, 21, 9, , 5
2018/3/19, 113, 59, 17, 7, , 4
2018/3/20, 103, 74, 18, 5, , 3
2018/3/21, 107, 55, 16, 4, , 2
2018/3/22, 79, 66, 18, 5, , 4
2018/3/23, 116, 103, 19, 7, , 5
2018/3/24, 131, 94, 18, 8, , 4
2018/3/25, 128, 137, 21, 6, 2, 3
2018/3/26, 120, 111, 21, 3, , 2
2018/3/27, 104, 96, 21, 3, , 1
2018/3/28, 86, 90, 20, 4, , 3
2018/3/29, 107, 97, 20, 4, , 3
2018/3/30, 100, 54, 19, 3, , 1
2018/3/31, 70, 322, 18, 5, , 3
2018/4/1, 179, 145, 22, 2, , 1
2017/10/2, 89, 42, 11, 2, , 4
2017/10/3, 96, 59, 13, 4, , 3
2017/10/4, 87, 104, 8, 8, 3, 4
2017/10/5, 126, 108, 10, 6, 2, 3
2017/10/6, 115, 72, 13, 3, , 3
2017/10/7, 83, 76, 14, 5, 1, 4
2017/10/8, 85, 9, 12, 1, 1, 1
2017/10/9, 34, 30, 12, 2, 1, 2
2017/10/10, 75, 71, 11, 5, 1, 5
2017/10/11, 126, 98, 10, 4, 1, 7
2017/10/12, 139, 81, 11, 4, 1, 6
2017/10/13, 130, 91, 9, 5, 1, 7
2017/10/14, 145, 136, 10, 5, 1, 8
2017/10/15, 150, 118, 10, 6, 1, 6
2017/10/16, 149, 178, 9, 8, 3, 7
2017/10/17, 166, 162, 10, 8, 3, 7
2017/10/18, 158, 142, 9, 9, 4, 7
2017/10/19, 159, 115, 9, 7, 3, 6
2017/10/20, 146, 142, 10, 5, 2, 5
2017/10/21, 130, 48, 8, 5, 1, 5
2017/10/22, 114, 62, 14, 5, 1, 7
2017/10/23, 122, 56, 11, 4, 2, 3
2017/10/24, 83, 83, 8, 6, 5, 7
2017/10/25, 147, 103, 7, 7, 3, 9
2017/10/26, 160, 103, 6, 8, 3, 8
2017/10/27, 158, 34, 11, 2, 2, 2
2017/10/28, 70, 65, 10, 1, 1, 3
2017/10/29, 104, 85, 10, 5, 3, 6
2017/10/30, 129, 147, 8, 5, 2, 6
2017/10/31, 154, 118, 9, 6, 2, 9
2017/11/1, 156, 88, 9, 6, 3, 7
2017/11/2, 140, 92, 11, 7, 3, 7
2017/11/3, 122, 103, 8, 9, 4, 9
2017/11/4, 155, 159, 7, 10, 4, 8
2017/11/5, 167, 114, 8, 8, 3, 8
2017/11/6, 160, 67, , 11, 3, 9
2017/11/7, 153, , , , , 
2017/11/10, 150, 65, 11, 8, 2, 7
2017/11/11, 143, 70, 9, 9, 3, 6
2017/11/12, 153, 36, 10, 5, 1, 5
2017/11/13, 95, 43, 12, 3, 1, 3
2017/11/14, 111, 100, 9, 10, 3, 12
2017/11/15, 204, 105, 6, 13, 5, 14
2017/11/16, 204, 78, 8, 9, 4, 9
2017/11/17, 152, 69, 8, 7, 2, 7
2017/11/18, 159, 123, 7, 11, 4, 17
2017/11/19, 238, 132, 6, 14, 6, 17
2017/11/20, 241, 103, 8, 15, 9, 13
2017/11/21, 195, 40, 9, 4, 3, 4
2017/11/22, 110, 72, 9, 8, 3, 8
2017/11/23, 162, 82, 9, 8, 3, 11
2017/11/24, 173, 91, 8, 10, 4, 12
2017/11/25, 189, 51, 8, 6, 4, 6
2017/11/26, 134, 88, 7, 12, 8, 12
2017/11/27, 182, 46, 12, 7, 4, 8
2017/11/28, 97, 54, 10, 5, 2, 6
2017/11/29, 126, 123, 7, 11, 6, 17
2017/11/30, 238, 130, 8, 11, 6, 19
2017/12/1, 254, 141, 6, 14, 8, 23
2017/12/2, 273, 64, 8, 7, 4, 10
2017/12/3, 151, 73, 8, 7, 4, 10
2017/12/4, 169, 101, 8, 10, 5, 16
2017/12/5, 211, 91, 8, 9, 5, 13
2017/12/6, 189, 78, 8, 7, 3, 11
2017/12/7, 174, 70, 7, 6, 2, 8
2017/12/8, 169, 116, 7, 9, 2, 14
2017/12/9, 227, 85, 10, 6, 3, 14
2017/12/10, 173, 52, 9, 3, 1, 5
2017/12/11, 133, 82, 6, 7, 3, 9
2017/12/12, 176, 79, 7, 8, 3, 8
2017/12/13, 168, , , , , 
2017/12/15, 169, 76, 9, 7, 3, 9
2017/12/16, 172, 58, 10, 6, 2, 7
2017/12/17, 140, 82, 10, 8, 4, 11
2017/12/18, 172, 56, 10, 6, 3, 6
2017/12/19, 141, 63, 11, 8, 3, 9
2017/12/20, 151, 95, 10, 11, 4, 12
2017/12/21, 197, 130, 6, 14, 6, 18
2017/12/22, 249, 124, 6, 13, 7, 16
2017/12/23, 240, 117, 6, 13, 7, 17
2017/12/24, 228, 130, 6, 12, 7, 16
2017/12/25, 246, 187, 6, 16, 10, 28
2017/12/26, 352, 101, 6, 13, 8, 16
2017/12/27, 213, 84, 6, 11, 6, 10
2017/12/28, 179, 69, 8, 10, 7, 9
2017/12/29, 145, 52, 8, 6, 4, 5
2017/12/30, 126, 57, 8, 5, 2, 6
2017/12/31, 140, , , , , 
2017/7/2, 31, , , , , 
2017/7/21, 20, 40, 29, 6, 2, 1
2017/7/22, 45, 30, 27, 7, 3, 1
2017/7/23, 55, 37, 25, 6, 2, 1
2017/7/24, 53, 46, 29, 5, 1, 1
2017/7/25, 56, 16, 32, 7, 5, 1
2017/7/26, 34, 27, 28, 6, 1, 1
2017/7/27, 43, 28, 26, 7, 3, 1
2017/7/28, 39, , , , , 
2017/7/30, 44, 80, 31, 6, 4, 2
2017/7/31, 60, 22, 32, 5, 2, 1
2017/8/1, 34, 24, 35, 6, 2, 2
2017/8/2, 53, 32, 32, 5, 1, 1
2017/8/3, 46, 29, 36, 6, 1, 1
2017/8/4, 39, 12, 28, 6, 2, 1
2017/8/5, 30, 25, 30, 5, 2, 2
2017/8/6, 52, , , , , 
2017/8/8, 45, 47, 30, 4, 3, 1
2017/8/9, 52, 27, 13, 4, 1, 2
2017/8/10, 48, 12, 11, 4, 1, 1
2017/8/11, 27, 13, 11, 3, 1, 1
2017/8/12, 34, 33, 13, 3, 2, 1
2017/8/13, 43, 58, 12, 5, 1, 2
2017/8/14, 64, 62, 12, 4, 1, 2
2017/8/15, 64, 70, 14, 6, 3, 2
2017/8/16, 70, 55, 12, 5, 2, 2
2017/8/17, 67, 21, 8, , 2, 
2017/8/18, 50, 10, 11, 5, 3, 2
2017/8/19, 29, 9, 11, 4, 2, 1
2017/8/20, 28, 7, 9, 2, , 1
2017/8/21, 27, 15, 9, 2, 1, 2
